DEPARTAMENTO,MES,Numero Eventos Reportados,SISTEMAS AFECTADOS,SEXO FEMENINO,SEXO MASCULINO,SEXO SIN ESPECIFICAR,CASOS NO SERIOS,CASOS SERIOS,EVENTO CLASIFICADO COMO FALLO TERAPEUTICO (FT),EVENTO CLASIFICADO COMO REACCION ADVERSA A MEDICAMENTO (RAM),EVENTO CLASIFICADO COMO PROBLEMA DE CALIDAD (PC),EVENTO CLASIFICADO COMO ERROR DE MEDICACIÓN (EM),EVENTO CLASIFICADO COMO EVENTO SUPUESTAMENTE ATRIBUIBLE A LA VACUNACIÓN (ESAVI)
SUCRE,ABRIL DE 2021,68,NEOPLASMAS;TRASTORNOS CARDIOVASCULARES  GENERALES;TRASTORNOS DE LA PIEL Y APENDICES;TRASTORNOS DE LA VISION;TRASTORNOS DE LOS ERITROCITOS;TRASTORNOS DE LOS LEUCOCITOS Y DE LA VSE;TRASTORNOS DEL COLAGENO;TRASTORNOS DEL MECANISMO DE RESISTENCIA;TRASTORNOS DEL METABOLISMO Y NUTRICION;TRASTORNOS DEL SISTEMA GASTROINTESTINAL;TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR;TRASTORNOS DEL SISTEMA MUSCULO-ESQUELETAL;TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO;TRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVO;TRASTORNOS DEL SISTEMA RESPIRATORIO;TRASTORNOS DEL SISTEMA URINARIO;TRASTORNOS EN EL PUNTO DE APLICACION;TRASTORNOS ENDOCRINOS;TRASTORNOS GENERALES DE TODO EL ORGANISMO;TRASTORNOS PSIQUIATRICOS;TRASTORNOS VASCULARES  EXTRACARDIACOS ;VOCABLOS SECUNDARIOS  EVENTOS,31,37,0,57,11,1,61,1,4,1
TOLIMA,ABRIL DE 2021,137,TRASTORNOS CARDIOVASCULARES  GENERALES;TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS;TRASTORNOS DE LA PIEL Y APENDICES;TRASTORNOS DE LAS PLAQUETAS  HEMORRAGIAS Y COAGULACION;TRASTORNOS DEL MECANISMO DE RESISTENCIA;TRASTORNOS DEL METABOLISMO Y NUTRICION;TRASTORNOS DEL SISTEMA GASTROINTESTINAL;TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR;TRASTORNOS DEL SISTEMA MUSCULO-ESQUELETAL;TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO;TRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVO;TRASTORNOS DEL SISTEMA RESPIRATORIO;TRASTORNOS DEL SISTEMA URINARIO;TRASTORNOS EN EL PUNTO DE APLICACION;TRASTORNOS GENERALES DE TODO EL ORGANISMO;TRASTORNOS MIO-  ENDO-  PERICARDICOS Y VALVULARES;TRASTORNOS PSIQUIATRICOS;VOCABLOS SECUNDARIOS  EVENTOS,63,74,0,103,34,1,129,1,7,0
VALLE DEL CAUCA,ABRIL DE 2021,1134,NEOPLASMAS;TRASTORNOS AUDITIVOS Y VESTIBULARES;TRASTORNOS CARDIOVASCULARES  GENERALES;TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS;TRASTORNOS DE LA PIEL Y APENDICES;TRASTORNOS DE LA REPRODUCCION  MUJERES;TRASTORNOS DE LA REPRODUCCION  VARONES;TRASTORNOS DE LA VISION;TRASTORNOS DE LAS PLAQUETAS  HEMORRAGIAS Y COAGULACION;TRASTORNOS DE LOS ERITROCITOS;TRASTORNOS DE LOS LEUCOCITOS Y DE LA VSE;TRASTORNOS DE OTROS SENTIDOS ESPECIALES;TRASTORNOS DEL COLAGENO;TRASTORNOS DEL MECANISMO DE RESISTENCIA;TRASTORNOS DEL METABOLISMO Y NUTRICION;TRASTORNOS DEL SISTEMA GASTROINTESTINAL;TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR;TRASTORNOS DEL SISTEMA MUSCULO-ESQUELETAL;TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO;TRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVO;TRASTORNOS DEL SISTEMA RESPIRATORIO;;TRASTORNOS DEL SISTEMA URINARIO;TRASTORNOS EN EL PUNTO DE APLICACION;TRASTORNOS ENDOCRINOS;TRASTORNOS GENERALES DE TODO EL ORGANISMO;TRASTORNOS MIO-  ENDO-  PERICARDICOS Y VALVULARES;TRASTORNOS PSIQUIATRICOS;TRASTORNOS VASCULARES  EXTRACARDIACOS ;VOCABLOS ESPECIFICOS A VENENOS;VOCABLOS SECUNDARIOS  EVENTOS,703,427,4,975,159,18,1046,5,62,10
AMAZONAS,MAYO DE 2021,2,TRASTORNOS DE LA PIEL Y APENDICES;TRASTORNOS DEL MECANISMO DE RESISTENCIA,2,0,0,2,0,0,2,0,0,0
ANTIOQUIA,MAYO DE 2021,1911,NEOPLASMAS;NINGUNA;TRASTORNOS AUDITIVOS Y VESTIBULARES;TRASTORNOS CARDIOVASCULARES  GENERALES;TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS;TRASTORNOS DE LA PIEL Y APENDICES;TRASTORNOS DE LA REPRODUCCION  MUJERES;TRASTORNOS DE LA REPRODUCCION  VARONES;TRASTORNOS DE LA VISION;TRASTORNOS DE LAS PLAQUETAS  HEMORRAGIAS Y COAGULACION;TRASTORNOS DE LOS ERITROCITOS;TRASTORNOS DE LOS LEUCOCITOS Y DE LA VSE;TRASTORNOS DE OTROS SENTIDOS ESPECIALES;TRASTORNOS DEL COLAGENO;TRASTORNOS DEL MECANISMO DE RESISTENCIA;TRASTORNOS DEL METABOLISMO Y NUTRICION;TRASTORNOS DEL SISTEMA GASTROINTESTINAL;TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR;TRASTORNOS DEL SISTEMA MUSCULO-ESQUELETAL;TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO;TRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVO;TRASTORNOS DEL SISTEMA RESPIRATORIO;TRASTORNOS DEL SISTEMA URINARIO;TRASTORNOS EN EL PUNTO DE APLICACION;TRASTORNOS ENDOCRINOS;TRASTORNOS GENERALES DE TODO EL ORGANISMO;TRASTORNOS MIO-  ENDO-  PERICARDICOS Y VALVULARES;TRASTORNOS VASCULARES  EXTRACARDIACOS ;VOCABLOS SECUNDARIOS  EVENTOS,1750,1018,1,1568,343,82,1736,4,94,0
ATLÁNTICO,MAYO DE 2021,479,NEOPLASMAS;TRASTORNOS AUDITIVOS Y VESTIBULARES;TRASTORNOS CARDIOVASCULARES  GENERALES;TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS;TRASTORNOS DE LA PIEL Y APENDICES;TRASTORNOS DE LA REPRODUCCION  MUJERES;TRASTORNOS DE LA REPRODUCCION  VARONES;TRASTORNOS DE LA VISION;TRASTORNOS DE LAS PLAQUETAS  HEMORRAGIAS Y COAGULACION;TRASTORNOS DE LOS ERITROCITOS;TRASTORNOS DE LOS LEUCOCITOS Y DE LA VSE;TRASTORNOS DEL MECANISMO DE RESISTENCIA;TRASTORNOS DEL METABOLISMO Y NUTRICION;TRASTORNOS DEL SISTEMA GASTROINTESTINAL;TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR;TRASTORNOS DEL SISTEMA MUSCULO-ESQUELETAL;TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO;TRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVO;TRASTORNOS DEL SISTEMA RESPIRATORIO;TRASTORNOS DEL SISTEMA URINARIO;TRASTORNOS EN EL PUNTO DE APLICACION;TRASTORNOS FETALES;TRASTORNOS GENERALES DE TODO EL ORGANISMO;TRASTORNOS MIO-  ENDO-  PERICARDICOS Y VALVULARES;TRASTORNOS NEONATALES Y EN LA PRIMERA INFANCIA;TRASTORNOS PSIQUIATRICOS;TRASTORNOS VASCULARES  EXTRACARDIACOS ;VOCABLOS ESPECIFICOS A VENENOS;VOCABLOS SECUNDARIOS  EVENTOS,801,535,1,340,139,2,43,1,16,0
BOGOTÁ  D C,MAYO DE 2021,3961,NEOPLASMAS;TRASTORNOS AUDITIVOS Y VESTIBULARES;TRASTORNOS CARDIOVASCULARES  GENERALES;TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS;TRASTORNOS DE LA PIEL Y APENDICES;TRASTORNOS DE LA REPRODUCCION  MUJERES;TRASTORNOS DE LA REPRODUCCION  VARONES;TRASTORNOS DE LA VISION;TRASTORNOS DE LAS PLAQUETAS  HEMORRAGIAS Y COAGULACION;TRASTORNOS DE LOS ERITROCITOS;TRASTORNOS DE LOS LEUCOCITOS Y DE LA VSE;TRASTORNOS DE OTROS SENTIDOS ESPECIALES;TRASTORNOS DEL COLAGENO;TRASTORNOS DEL MECANISMO DE RESISTENCIA;TRASTORNOS DEL METABOLISMO Y NUTRICION;TRASTORNOS DEL SISTEMA GASTROINTESTINAL;TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR;TRASTORNOS DEL SISTEMA MUSCULO-ESQUELETAL;TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO;TRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVO;TRASTORNOS DEL SISTEMA RESPIRATORIO;TRASTORNOS DEL SISTEMA URINARIO;TRASTORNOS EN EL PUNTO DE APLICACION;TRASTORNOS ENDOCRINOS;TRASTORNOS FETALES;TRASTORNOS GENERALES DE TODO EL ORGANISMO;TRASTORNOS MIO-  ENDO-  PERICARDICOS Y VALVULARES;TRASTORNOS NEONATALES Y EN LA PRIMERA INFANCIA;TRASTORNOS PSIQUIATRICOS;TRASTORNOS VASCULARES  EXTRACARDIACOS ;VOCABLOS ESPECIFICOS A VENENOS;VOCABLOS SECUNDARIOS  EVENTOS,3186,1589,46,3023,938,143,3624,25,276,1
BOLÍVAR,MAYO DE 2021,208,NEOPLASMAS;TRASTORNOS CARDIOVASCULARES  GENERALES;TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS;TRASTORNOS DE LA PIEL Y APENDICES;TRASTORNOS DE LA REPRODUCCION  MUJERES;TRASTORNOS DE LA REPRODUCCION  VARONES;TRASTORNOS DE LA VISION;TRASTORNOS DE LAS PLAQUETAS  HEMORRAGIAS Y COAGULACION;TRASTORNOS DE LOS ERITROCITOS;TRASTORNOS DE OTROS SENTIDOS ESPECIALES;TRASTORNOS DEL MECANISMO DE RESISTENCIA;TRASTORNOS DEL METABOLISMO Y NUTRICION;TRASTORNOS DEL SISTEMA GASTROINTESTINAL;TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR;TRASTORNOS DEL SISTEMA MUSCULO-ESQUELETAL;TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO;TRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVO;TRASTORNOS DEL SISTEMA RESPIRATORIO;TRASTORNOS DEL SISTEMA URINARIO;TRASTORNOS EN EL PUNTO DE APLICACION;TRASTORNOS FETALES;TRASTORNOS GENERALES DE TODO EL ORGANISMO;TRASTORNOS PSIQUIATRICOS;TRASTORNOS VASCULARES  EXTRACARDIACOS ;VOCABLOS SECUNDARIOS  EVENTOS,625,441,0,156,52,1,195,2,12,0
BOYACÁ,MAYO DE 2021,44,NEOPLASMAS;TRASTORNOS AUDITIVOS Y VESTIBULARES;TRASTORNOS DE LA PIEL Y APENDICES;TRASTORNOS DE LA VISION;TRASTORNOS DEL MECANISMO DE RESISTENCIA;TRASTORNOS DEL METABOLISMO Y NUTRICION;TRASTORNOS DEL SISTEMA GASTROINTESTINAL;TRASTORNOS DEL SISTEMA MUSCULO-ESQUELETAL;TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO;TRASTORNOS DEL SISTEMA RESPIRATORIO;TRASTORNOS DEL SISTEMA URINARIO;TRASTORNOS EN EL PUNTO DE APLICACION;TRASTORNOS GENERALES DE TODO EL ORGANISMO;TRASTORNOS PSIQUIATRICOS;VOCABLOS SECUNDARIOS  EVENTOS,550,352,0,29,15,0,38,2,4,0
CALDAS,MAYO DE 2021,172,TRASTORNOS AUDITIVOS Y VESTIBULARES;TRASTORNOS CARDIOVASCULARES  GENERALES;TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS;TRASTORNOS DE LA PIEL Y APENDICES;TRASTORNOS DE LA VISION;TRASTORNOS DE LOS ERITROCITOS;TRASTORNOS DE OTROS SENTIDOS ESPECIALES;TRASTORNOS DEL COLAGENO;TRASTORNOS DEL MECANISMO DE RESISTENCIA;TRASTORNOS DEL METABOLISMO Y NUTRICION;TRASTORNOS DEL SISTEMA GASTROINTESTINAL;TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR;TRASTORNOS DEL SISTEMA MUSCULO-ESQUELETAL;TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO;TRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVO;TRASTORNOS DEL SISTEMA RESPIRATORIO;TRASTORNOS DEL SISTEMA URINARIO;TRASTORNOS EN EL PUNTO DE APLICACION;TRASTORNOS ENDOCRINOS;TRASTORNOS GENERALES DE TODO EL ORGANISMO;TRASTORNOS MIO-  ENDO-  PERICARDICOS Y VALVULARES;TRASTORNOS PSIQUIATRICOS;TRASTORNOS VASCULARES  EXTRACARDIACOS ;VOCABLOS SECUNDARIOS  EVENTOS,620,410,0,134,38,3,167,0,3,0
CAQUETÁ,MAYO DE 2021,24,TRASTORNOS CARDIOVASCULARES  GENERALES;TRASTORNOS DE LA PIEL Y APENDICES;TRASTORNOS DE LOS ERITROCITOS;TRASTORNOS DEL METABOLISMO Y NUTRICION;TRASTORNOS DEL SISTEMA GASTROINTESTINAL;TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR;TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO;TRASTORNOS GENERALES DE TODO EL ORGANISMO;TRASTORNOS PSIQUIATRICOS;VOCABLOS SECUNDARIOS  EVENTOS,538,344,0,4,20,0,23,0,1,0
CASANARE,MAYO DE 2021,13,NEOPLASMAS;TRASTORNOS AUDITIVOS Y VESTIBULARES;TRASTORNOS DE LA PIEL Y APENDICES;TRASTORNOS DEL MECANISMO DE RESISTENCIA;TRASTORNOS DEL SISTEMA GASTROINTESTINAL;TRASTORNOS DEL SISTEMA MUSCULO-ESQUELETAL;TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO;TRASTORNOS DEL SISTEMA RESPIRATORIO;TRASTORNOS GENERALES DE TODO EL ORGANISMO;TRASTORNOS PSIQUIATRICOS;VOCABLOS SECUNDARIOS  EVENTOS,532,339,0,10,3,0,10,1,2,0
CAUCA,MAYO DE 2021,76,TRASTORNOS CARDIOVASCULARES  GENERALES;TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS;TRASTORNOS DE LA PIEL Y APENDICES;TRASTORNOS DE LAS PLAQUETAS  HEMORRAGIAS Y COAGULACION;TRASTORNOS DE LOS ERITROCITOS;TRASTORNOS DEL MECANISMO DE RESISTENCIA;TRASTORNOS DEL METABOLISMO Y NUTRICION;TRASTORNOS DEL SISTEMA GASTROINTESTINAL;TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR;TRASTORNOS DEL SISTEMA MUSCULO-ESQUELETAL;TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO;TRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVO;TRASTORNOS DEL SISTEMA RESPIRATORIO;TRASTORNOS DEL SISTEMA URINARIO;TRASTORNOS EN EL PUNTO DE APLICACION;TRASTORNOS GENERALES DE TODO EL ORGANISMO;TRASTORNOS PSIQUIATRICOS;TRASTORNOS VASCULARES  EXTRACARDIACOS ;VOCABLOS SECUNDARIOS  EVENTOS,571,363,0,65,11,1,72,0,3,0
CESAR,MAYO DE 2021,68,TRASTORNOS CARDIOVASCULARES  GENERALES;TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS;TRASTORNOS DE LA PIEL Y APENDICES;TRASTORNOS DE LA REPRODUCCION  MUJERES;TRASTORNOS DE LA VISION;TRASTORNOS DE LAS PLAQUETAS  HEMORRAGIAS Y COAGULACION;TRASTORNOS DE LOS LEUCOCITOS Y DE LA VSE;TRASTORNOS DE OTROS SENTIDOS ESPECIALES;TRASTORNOS DEL MECANISMO DE RESISTENCIA;TRASTORNOS DEL METABOLISMO Y NUTRICION;TRASTORNOS DEL SISTEMA GASTROINTESTINAL;TRASTORNOS DEL SISTEMA MUSCULO-ESQUELETAL;TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO;TRASTORNOS DEL SISTEMA RESPIRATORIO;TRASTORNOS DEL SISTEMA URINARIO;TRASTORNOS EN EL PUNTO DE APLICACION;TRASTORNOS FETALES;TRASTORNOS GENERALES DE TODO EL ORGANISMO;TRASTORNOS MIO-  ENDO-  PERICARDICOS Y VALVULARES;TRASTORNOS PSIQUIATRICOS;TRASTORNOS VASCULARES  EXTRACARDIACOS ;VOCABLOS SECUNDARIOS  EVENTOS,561,365,0,55,13,2,62,0,5,1
CUNDINAMARCA,MAYO DE 2021,183,TRASTORNOS CARDIOVASCULARES  GENERALES;TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS;TRASTORNOS DE LA PIEL Y APENDICES;TRASTORNOS DE LA REPRODUCCION  MUJERES;TRASTORNOS DE LA VISION;TRASTORNOS DE LAS PLAQUETAS  HEMORRAGIAS Y COAGULACION;TRASTORNOS DE LOS ERITROCITOS;TRASTORNOS DE LOS LEUCOCITOS Y DE LA VSE;TRASTORNOS DE OTROS SENTIDOS ESPECIALES;TRASTORNOS DEL COLAGENO;TRASTORNOS DEL MECANISMO DE RESISTENCIA;TRASTORNOS DEL METABOLISMO Y NUTRICION;TRASTORNOS DEL SISTEMA GASTROINTESTINAL;TRASTORNOS DEL SISTEMA MUSCULO-ESQUELETAL;TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO;TRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVO;TRASTORNOS DEL SISTEMA RESPIRATORIO;TRASTORNOS DEL SISTEMA URINARIO;TRASTORNOS EN EL PUNTO DE APLICACION;TRASTORNOS ENDOCRINOS;TRASTORNOS GENERALES DE TODO EL ORGANISMO;TRASTORNOS PSIQUIATRICOS;TRASTORNOS VASCULARES  EXTRACARDIACOS ;VOCABLOS SECUNDARIOS  EVENTOS,98,85,0,135,48,2,173,0,9,0
GUAVIARE,MAYO DE 2021,6,TRASTORNOS DEL METABOLISMO Y NUTRICION;TRASTORNOS DEL SISTEMA GASTROINTESTINAL;TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO;TRASTORNOS GENERALES DE TODO EL ORGANISMO,2,4,0,6,0,0,6,0,0,0
HUILA,MAYO DE 2021,110,NEOPLASMAS;TRASTORNOS AUDITIVOS Y VESTIBULARES;TRASTORNOS CARDIOVASCULARES  GENERALES;TRASTORNOS DE LA PIEL Y APENDICES;TRASTORNOS DE LA VISION;TRASTORNOS DE LAS PLAQUETAS  HEMORRAGIAS Y COAGULACION;TRASTORNOS DE LOS ERITROCITOS;TRASTORNOS DE OTROS SENTIDOS ESPECIALES;TRASTORNOS DEL MECANISMO DE RESISTENCIA;TRASTORNOS DEL METABOLISMO Y NUTRICION;TRASTORNOS DEL SISTEMA GASTROINTESTINAL;TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR;TRASTORNOS DEL SISTEMA MUSCULO-ESQUELETAL;TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO;TRASTORNOS DEL SISTEMA RESPIRATORIO;TRASTORNOS DEL SISTEMA URINARIO;TRASTORNOS ENDOCRINOS;TRASTORNOS GENERALES DE TODO EL ORGANISMO;TRASTORNOS MIO-  ENDO-  PERICARDICOS Y VALVULARES;TRASTORNOS PSIQUIATRICOS;TRASTORNOS VASCULARES  EXTRACARDIACOS ;VOCABLOS SECUNDARIOS  EVENTOS,53,56,1,75,35,1,99,0,10,0
LA GUAJIRA,MAYO DE 2021,19,NEOPLASMAS;TRASTORNOS DE LA PIEL Y APENDICES;TRASTORNOS DEL COLAGENO;TRASTORNOS DEL SISTEMA GASTROINTESTINAL;TRASTORNOS DEL SISTEMA MUSCULO-ESQUELETAL;TRASTORNOS DEL SISTEMA RESPIRATORIO;TRASTORNOS DEL SISTEMA URINARIO;TRASTORNOS EN EL PUNTO DE APLICACION;TRASTORNOS GENERALES DE TODO EL ORGANISMO;TRASTORNOS PSIQUIATRICOS;TRASTORNOS VASCULARES  EXTRACARDIACOS,8,11,0,16,3,0,19,0,0,0
MAGDALENA,MAYO DE 2021,87,TRASTORNOS DE LA PIEL Y APENDICES;TRASTORNOS DE LA REPRODUCCION  MUJERES;TRASTORNOS DE LA VISION;TRASTORNOS DE LAS PLAQUETAS  HEMORRAGIAS Y COAGULACION;TRASTORNOS DE LOS ERITROCITOS;TRASTORNOS DE OTROS SENTIDOS ESPECIALES;TRASTORNOS DEL MECANISMO DE RESISTENCIA;TRASTORNOS DEL METABOLISMO Y NUTRICION;TRASTORNOS DEL SISTEMA GASTROINTESTINAL;TRASTORNOS DEL SISTEMA MUSCULO-ESQUELETAL;TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO;TRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVO;TRASTORNOS DEL SISTEMA RESPIRATORIO;TRASTORNOS DEL SISTEMA URINARIO;TRASTORNOS EN EL PUNTO DE APLICACION;TRASTORNOS GENERALES DE TODO EL ORGANISMO;TRASTORNOS PSIQUIATRICOS;TRASTORNOS VASCULARES  EXTRACARDIACOS ;VOCABLOS SECUNDARIOS  EVENTOS,51,36,0,72,15,2,77,1,8,0
META,MAYO DE 2021,45,TRASTORNOS DE LA PIEL Y APENDICES;TRASTORNOS DE LAS PLAQUETAS  HEMORRAGIAS Y COAGULACION;TRASTORNOS DE LOS ERITROCITOS;TRASTORNOS DEL MECANISMO DE RESISTENCIA;TRASTORNOS DEL METABOLISMO Y NUTRICION;TRASTORNOS DEL SISTEMA GASTROINTESTINAL;TRASTORNOS DEL SISTEMA MUSCULO-ESQUELETAL;TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO;TRASTORNOS DEL SISTEMA RESPIRATORIO;TRASTORNOS DEL SISTEMA URINARIO;TRASTORNOS GENERALES DE TODO EL ORGANISMO;TRASTORNOS PSIQUIATRICOS;VOCABLOS SECUNDARIOS  EVENTOS,24,21,0,27,18,0,41,0,5,0
NARIÑO,MAYO DE 2021,87,NEOPLASMAS;TRASTORNOS CARDIOVASCULARES  GENERALES;TRASTORNOS DE LA PIEL Y APENDICES;TRASTORNOS DE LA REPRODUCCION  MUJERES;TRASTORNOS DE LAS PLAQUETAS  HEMORRAGIAS Y COAGULACION;TRASTORNOS DEL MECANISMO DE RESISTENCIA;TRASTORNOS DEL METABOLISMO Y NUTRICION;TRASTORNOS DEL SISTEMA GASTROINTESTINAL;TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR;TRASTORNOS DEL SISTEMA MUSCULO-ESQUELETAL;TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO;TRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVO;TRASTORNOS DEL SISTEMA RESPIRATORIO;TRASTORNOS DEL SISTEMA URINARIO;TRASTORNOS EN EL PUNTO DE APLICACION;TRASTORNOS GENERALES DE TODO EL ORGANISMO;TRASTORNOS PSIQUIATRICOS;TRASTORNOS VASCULARES  EXTRACARDIACOS ;VOCABLOS SECUNDARIOS  EVENTOS,46,41,0,68,19,0,73,2,15,0
NORTE DE SANTANDER,MAYO DE 2021,82,NEOPLASMAS;TRASTORNOS AUDITIVOS Y VESTIBULARES;TRASTORNOS CARDIOVASCULARES  GENERALES;TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS;TRASTORNOS DE LA PIEL Y APENDICES;TRASTORNOS DE LAS PLAQUETAS  HEMORRAGIAS Y COAGULACION;TRASTORNOS DEL MECANISMO DE RESISTENCIA;TRASTORNOS DEL METABOLISMO Y NUTRICION;TRASTORNOS DEL SISTEMA GASTROINTESTINAL;TRASTORNOS DEL SISTEMA MUSCULO-ESQUELETAL;TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO;TRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVO;TRASTORNOS DEL SISTEMA RESPIRATORIO;TRASTORNOS DEL SISTEMA URINARIO;TRASTORNOS EN EL PUNTO DE APLICACION;TRASTORNOS GENERALES DE TODO EL ORGANISMO;TRASTORNOS PSIQUIATRICOS;TRASTORNOS VASCULARES  EXTRACARDIACOS ;VOCABLOS SECUNDARIOS  EVENTOS,46,35,1,55,27,0,71,2,9,0
PUTUMAYO,MAYO DE 2021,2,TRASTORNOS DE LA PIEL Y APENDICES;TRASTORNOS DEL SISTEMA MUSCULO-ESQUELETAL;TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO;TRASTORNOS DEL SISTEMA RESPIRATORIO;TRASTORNOS GENERALES DE TODO EL ORGANISMO,2,0,0,1,0,0,2,0,0,0
QUINDIO,MAYO DE 2021,85,TRASTORNOS DE LA PIEL Y APENDICES;TRASTORNOS DE LA VISION;TRASTORNOS DE LAS PLAQUETAS  HEMORRAGIAS Y COAGULACION;TRASTORNOS DEL MECANISMO DE RESISTENCIA;TRASTORNOS DEL METABOLISMO Y NUTRICION;TRASTORNOS DEL SISTEMA GASTROINTESTINAL;TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR;TRASTORNOS DEL SISTEMA MUSCULO-ESQUELETAL;TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO;TRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVO;TRASTORNOS DEL SISTEMA RESPIRATORIO;TRASTORNOS DEL SISTEMA URINARIO;TRASTORNOS GENERALES DE TODO EL ORGANISMO;TRASTORNOS PSIQUIATRICOS;TRASTORNOS VASCULARES  EXTRACARDIACOS ;VOCABLOS SECUNDARIOS  EVENTOS,53,32,0,54,31,1,77,0,10,0
CESAR,JUNIO DE 2021,100,TRASTORNOS CARDIOVASCULARES  GENERALES;TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS;TRASTORNOS DE LA PIEL Y APENDICES;TRASTORNOS DE LA REPRODUCCION  MUJERES;TRASTORNOS DE LA REPRODUCCION  VARONES;TRASTORNOS DE LA VISION;TRASTORNOS DEL MECANISMO DE RESISTENCIA;TRASTORNOS DEL METABOLISMO Y NUTRICION;TRASTORNOS DEL SISTEMA GASTROINTESTINAL;TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR;TRASTORNOS DEL SISTEMA MUSCULO-ESQUELETAL;TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO;TRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVO;TRASTORNOS DEL SISTEMA RESPIRATORIO;TRASTORNOS DEL SISTEMA URINARIO;TRASTORNOS EN EL PUNTO DE APLICACION;TRASTORNOS FETALES;TRASTORNOS GENERALES DE TODO EL ORGANISMO;TRASTORNOS MIO-  ENDO-  PERICARDICOS Y VALVULARES;TRASTORNOS PSIQUIATRICOS;TRASTORNOS VASCULARES  EXTRACARDIACOS ;VOCABLOS SECUNDARIOS  EVENTOS,50,50,0,71,29,0,98,0,4,0
